Philipps-MacBook-Pro:btc-liquidity philippbraun$ python main.py
GNT/ETH 	314.27 	215414.15
SNT/ETH 	31.27 	215445.43
BAT/ETH 	21.19 	215466.62
MANA/ETH 	18.46 	215485.08
FUN/ETH 	18.97 	215504.06
ZRX/ETH 	141.00 	215645.05
TNB/ETH 	88.41 	215733.46
SPANK/ETH 	78.80 	215812.26
TRX/ETH 	310.33 	216122.59
RCN/ETH 	34.97 	216157.56
RLC/ETH 	87.15 	216244.71
AID/ETH 	59.23 	216303.93
SNGLS/ETH 	5.34 	216309.28
REP/ETH 	34.59 	216343.87
ELF/ETH 	18.64 	216362.52
ETH/EUR 	44.58 	216407.10
ETH/JPY 	0.34 	216407.44
ETH/GBP 	50.55 	216457.98
IOST/ETH 	89.73 	216547.71
AIO/ETH 	9.38 	216557.09
REQ/ETH 	7.32 	216564.41
RDN/ETH 	28.47 	216592.87
===> 	bitfinex 	216592.87
ETH/BTC 	20127.26 	20127.26
===> 	bitflyer 	20127.26
ETH/KRW 	0.00 	0.00
===> 	bithumb 	0.00
ETH/USDT 	0.31 	0.31
ETH/QC 	0.05 	0.36
ETH/BTC 	1295.43 	1295.80
ETH/ZB 	0.00 	1295.80
===> 	bitkk 	1295.80
ETH/BTC 	6376.62 	6376.62
ETH/EUR 	0.64 	6377.26
ETH/RUB 	0.01 	6377.28
ETH/USD 	1.66 	6378.94
HBZ/ETH 	63.23 	6442.17
===> 	bitlish 	6442.17
===> 	bitmarket 	0.00
===> 	bitmex 	0.00
ETH/USD 	17.93 	17.93
ETH/BTC 	54412.69 	54430.62
ETH/EUR 	8.88 	54439.50
===> 	bitstamp 	54439.50
ETH/BTC 	7569.86 	7569.86
ADA/ETH 	162.34 	7732.20
ADT/ETH 	19.17 	7751.37
ADX/ETH 	26.62 	7777.99
AID/ETH 	11.68 	7789.67
ANT/ETH 	83.02 	7872.69
BAT/ETH 	43.32 	7916.01
BCH/ETH 	261.01 	8177.02
BCPT/ETH 	14.42 	8191.44
BLT/ETH 	32.36 	8223.79
BNT/ETH 	119.45 	8343.24
BTG/ETH 	64.20 	8407.45
CFI/ETH 	18.35 	8425.80
CRB/ETH 	11.00 	8436.80
CVC/ETH 	24.08 	8460.88
DASH/ETH 	59.90 	8520.78
DGB/ETH 	94.25 	8615.03
DMT/ETH 	35.51 	8650.54
DNT/ETH 	27.19 	8677.73
ENG/ETH 	22.99 	8700.72
ETC/ETH 	213.14 	8913.86
FCT/ETH 	36.26 	8950.12
GNO/ETH 	33.97 	8984.09
GNT/ETH 	157.14 	9141.23
GUP/ETH 	27.06 	9168.29
HMQ/ETH 	26.01 	9194.30
LGD/ETH 	27.60 	9221.90
LRC/ETH 	7.19 	9229.09
LTC/ETH 	145.40 	9374.49
LUN/ETH 	19.21 	9393.70
MANA/ETH 	32.00 	9425.70
MCO/ETH 	49.45 	9475.15
NEO/ETH 	273.22 	9748.37
NGC/ETH 	13.68 	9762.05
NMR/ETH 	20.11 	9782.16
OMG/ETH 	147.43 	9929.59
PAY/ETH 	51.15 	9980.73
POLY/ETH 	163.85 	10144.58
POWR/ETH 	29.72 	10174.30
PRO/ETH 	54.14 	10228.44
PTOY/ETH 	23.00 	10251.44
QRL/ETH 	38.07 	10289.51
QTUM/ETH 	257.91 	10547.42
RCN/ETH 	15.63 	10563.06
REP/ETH 	63.96 	10627.01
RLC/ETH 	66.26 	10693.27
SALT/ETH 	14.59 	10707.86
SC/ETH 	67.01 	10774.87
SNT/ETH 	46.39 	10821.26
SRN/ETH 	12.76 	10834.02
